"player_name","year","gp","w_pct","min","reb","ast","tov","stl","blk","pts","plus_minus","fg3m","team_abbreviation","off_rating","def_rating","ts_pct","total_mins"
"Aaron Wiggins",2021,37,0.27,22.3,3.4,1,0.8,0.7,0.2,7,-2.8,0.8,"OKC",103.6,108.3,0.559,825.1
"Alperen Sengun",2021,52,0.25,18.7,4.8,2.5,2.1,0.8,0.9,8.8,-4.3,0.4,"HOU",104.7,116.1,0.563,972.4
"Austin Reaves",2021,41,0.537,21.6,2.5,1.3,0.5,0.3,0.3,6.1,2.5,0.8,"LAL",110,104.5,0.615,885.6
"Ayo Dosunmu",2021,57,0.614,26.2,2.9,3.1,1.3,0.7,0.4,8.2,-0.6,0.9,"CHI",110.1,111.6,0.61,1493.4
"Bones Hyland",2021,49,0.612,17.6,2.7,2,1.2,0.5,0.3,8.6,0.3,1.7,"DEN",109,108.3,0.508,862.4
"Brandon Boston Jr.",2021,42,0.524,14.9,2.3,0.9,0.6,0.5,0.3,6.5,-1.5,0.7,"LAC",99.1,103.7,0.469,625.8
"Cade Cunningham",2021,47,0.298,31.7,5.5,5.1,3.5,1.2,0.7,16,-5.7,1.9,"DET",104.4,112.8,0.491,1489.9
"Cam Thomas",2021,51,0.431,19.8,2.6,1.4,0.9,0.5,0.1,9.9,-1.8,0.8,"BKN",106.6,111.8,0.521,1009.8
"Chris Duarte",2021,52,0.385,28.3,4.1,2.2,1.7,1.1,0.2,13.3,-0.8,1.7,"IND",108.2,110.1,0.539,1471.6
"Corey Kispert",2021,55,0.418,20.3,2.6,1,0.6,0.4,0.3,6.8,1.4,1.1,"WAS",112.6,110,0.554,1116.5
"Dalano Banton",2021,50,0.56,11.7,2.1,1.6,1,0.5,0.2,3.5,0.6,0.2,"TOR",106.5,105.2,0.463,585
"David Duke Jr.",2021,21,0.429,16.2,3.2,0.8,0.4,0.7,0.3,5,-0.4,0.4,"BKN",111,110.6,0.444,340.2
"Davion Mitchell",2021,56,0.375,25.7,2.3,3.4,1.2,0.7,0.3,10.2,-2.1,1.4,"SAC",105.2,108.8,0.475,1439.2
"Day'Ron Sharpe",2021,32,0.375,12.2,5,0.5,0.9,0.3,0.5,6.2,1.8,0.1,"BKN",115.6,108.8,0.593,390.4
"Duane Washington Jr.",2021,31,0.258,19.4,1.7,1.9,1,0.5,0,8.5,-3.5,1.5,"IND",108.8,117.3,0.477,601.4
